Date,IPO Name,"Issue Size 						  (in crores)",QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,"Listing  						  Gains(%)",CMP,"Current 						  Gains (%)"
27-05-2011,Dr Datson Labs,120,0.14,2.65,1.84,1.11,234,218,311.25,33.01,6.29,-97.31
23-05-2011,Sanghvi Forging,36.9,0,1.82,2.93,1.3,85,88,111.75,31.47,16.5,-80.59
13-05-2011,Innoventive Ind,219.58,0.85,1.94,1.48,1.24,117,110,93.6,-20,4.2,-96.41
12-05-2011,Servalakshmi,60,0.34,4.21,1.9,1.47,29,30,19,-34.48,1.33,-95.41
10-05-2011,Future Consumer,750,0.26,7.81,0.61,1.52,10,9.5,8.3,-17,8.24,-17.6
09-05-2011,Paramount Print,45.83,0.33,3.28,9.31,3.92,35,35,26.65,-23.86,0.82,-97.66
06-05-2011,Muthoot Finance,901.25,25.01,60.94,8.5,24.55,175,176.45,176.25,0.71,"1,555.50",788.86
08-04-2011,Shilpi Cable,55.88,1.04,6.39,5.74,3.48,69,78.35,23.8,-65.51,1.1,-98.41
30-03-2011,PTC India Fin,438.76,2.85,0.22,1.18,1.7,28,28,24.9,-11.07,20.45,-26.96
24-03-2011,Lovable Lingeri,93.28,21.87,99.87,20.84,35.21,205,261.5,249.2,21.56,125.25,-38.9
11-03-2011,Sudar Ind,69.98,0.17,4.47,2.27,1.55,77,74,113.1,46.88,1.02,-98.68
11-03-2011,Fineotex Chem,30.32,0,0.22,4.38,1.57,70,80,14.09,-79.87,104.7,49.57
10-03-2011,Acropetal Tech,170,1.12,2,1.21,1.28,90,130,98.45,9.39,1.67,-98.14
10-02-2011,Omkar Special,79.38,0.82,5.27,9.9,4.67,98,95,46.2,-52.86,18.34,-81.29
20-01-2011,C Mahendra Expo,165,1.02,3.92,4.82,2.78,110,111,55.43,-49.61,1.79,-98.37
30-12-2010,Punjab & Sind,480,49.8,22.91,8.38,47.2,120,146.1,127.05,5.87,20,-83.33
23-12-2010,A2Z Infra Eng,675,0.7,4.25,0.33,0.96,400,390,328.9,-17.78,5.25,-98.69
20-12-2010,Claris Life,300,1.31,2.03,1.6,1.5,228,224.4,205.85,-9.71,396.55,73.93
15-12-2010,MOIL,1260,0,0,0,0,375,551,233.25,-37.8,190.1,-49.31
06-12-2010,RPP Infra Proj,48.75,0.16,7.27,5.6,2.97,75,75,68.95,-8.07,85.5,14
16-11-2010,Gravita India,45,6.04,182.52,37.34,42.88,125,218.75,42.08,-66.34,186.15,48.92
04-11-2010,Coal India,15475,24.7,25.4,2.31,15.28,245,300,342.35,39.73,143.25,-41.53
27-10-2010,BS Limited,197.36,0.52,3.16,1.04,1.1,248,251,18.93,-92.37,0.33,-99.87
27-10-2010,Gyscoal Alloys,54.67,1.54,33.44,8,8.59,71,76.6,8.16,-88.51,2.8,-96.06
27-10-2010,Prestige Estate,1200,4.32,0.24,0.08,2.26,183,190,192.55,5.22,341.8,86.78
20-10-2010,Oberoi Realty,1028.61,22.15,3.61,0.94,12.13,260,280,282.95,8.83,672.9,158.81
18-10-2010,Commercial Eng,172.41,3.68,0.34,0.38,2.07,127,122.8,112.25,-11.61,37.75,-70.28
14-10-2010,Sea TV Network,50.2,1.66,40.94,7.45,9.58,100,120,106,6,1.98,-98.02
14-10-2010,Bedmutha Ind,91.8,0.67,29.19,8.51,7.69,102,114.4,180.8,77.25,41.8,-59.02
14-10-2010,Ashoka Buildcon,225,25.52,13.91,3.46,15.94,324,333.55,73.33,-77.37,107.45,-66.84
13-10-2010,Va Tech Wabag,472.6,36.13,100.98,8.55,36.22,1310,1655,341.88,-73.9,370,-71.76
12-10-2010,Cantabil Retail,105,1.71,3.83,2.63,2.35,135,133.8,104.75,-22.41,401.6,197.48
12-10-2010,Tecpro Systems,268.03,27.99,62.48,9.07,24.47,355,399.4,407.85,14.89,4.53,-98.72
08-10-2010,Electrosteel St,0,5.86,28.58,6.19,8.23,11,11.15,11.25,2.27,31.05,182.27
08-10-2010,Orient Green,900,2.09,0.64,0.18,1.07,47,45.7,44.9,-4.47,3.43,-92.7
08-10-2010,Ramky Infra,530,4.52,1.45,0.99,2.89,450,450,387.35,-13.92,177.95,-60.46
06-10-2010,Eros Intl,350,25.79,73.4,11.95,26.51,175,213.55,190.05,8.6,24.8,-85.83
06-10-2010,Career Point,115,47.45,101.93,31.74,47.39,310,461,632.35,103.98,174.8,-43.61
05-10-2010,Sasta Sundar,147.5,5.91,35.88,11.04,12.2,118,135.1,110.9,-6.02,320.55,171.65
01-10-2010,Tirupati Inks,51.5,1.78,23.18,12.59,8.77,43,53.95,36.65,-14.77,1.59,-96.3
29-09-2010,Indosolar,357,1.44,1.3,1.81,1.55,29,29.75,23.7,-18.28,2.94,-89.86
09-09-2010,Gujarat Pipavav,500,13.2,85.7,9.15,19.94,46,56.25,54.05,17.5,110.8,140.87
25-08-2010,Prakash Steelag,68.75,1.27,10.91,6.62,4.53,110,118.55,18.8,-82.91,1.57,-98.57
18-08-2010,Bajaj Consumer,297,20.19,53.49,6.62,19.29,660,730,151.65,-77.02,285,-56.82
16-08-2010,Bharat Fin,1653.97,20.38,18.26,2.81,13.69,985,1036,1088.58,10.52,898.2,-8.81
28-07-2010,Shri Aster,53.1,0.01,12.46,7.41,4.47,118,127.7,199.1,68.73,1.28,-98.92
21-07-2010,Hindustan Media,270,8.98,3.39,1,5.43,166,177.95,189.2,13.98,87.2,-47.47
16-07-2010,Technofab Engg,71.76,4.28,48.85,10.03,12.78,240,265,295.65,23.19,6.85,-97.15
01-07-2010,Parabolic Drugs,200,1.48,1.2,0.4,1.04,75,76,64.8,-13.6,5.7,-92.4
21-05-2010,Jaypee Infra,1650,1.77,1.15,0.61,1.24,102,98,91.3,-10.49,2.16,-97.88
20-05-2010,SJVN,1079,9.03,3.39,3.12,6.64,26,27.1,25.05,-3.65,27.25,4.81
19-05-2010,GB Global,107.9,7.97,10.52,2.81,6.32,130,131,133.65,2.81,9.8,-92.46
18-05-2010,Tarapur Trans,63.75,0.03,5.08,2.74,1.74,75,75,56.9,-24.13,5.31,-92.92
13-05-2010,NEL HOLDINGS SO,405,2.54,0.22,0.16,1.16,54,50,50.95,-5.65,2.58,-95.22
10-05-2010,Talwalkars Fitn,77.44,35.43,51.48,8.43,28.39,128,138,162.6,27.03,1.45,-98.87
